# r_data chir_mag_data chir_real_data r_model chir_mag_model chir_real_model
5.645049e+00 1.567135e-01 -1.565513e-01 5.645049e+00 1.670418e-01 -1.670199e-01
5.675729e+00 1.513308e-01 -1.305567e-01 5.675729e+00 1.622306e-01 -1.359272e-01
5.706409e+00 1.450394e-01 -6.501523e-02 5.706409e+00 1.551224e-01 -6.577722e-02
5.737088e+00 1.379805e-01 1.527060e-02 5.737088e+00 1.457743e-01 1.638402e-02
5.767768e+00 1.302950e-01 8.257657e-02 5.767768e+00 1.344131e-01 8.233656e-02
5.798447e+00 1.221255e-01 1.163415e-01 5.798447e+00 1.214167e-01 1.133125e-01
5.829127e+00 1.136192e-01 1.096064e-01 5.829127e+00 1.072790e-01 1.056319e-01
5.859807e+00 1.049306e-01 6.980980e-02 5.859807e+00 9.256510e-02 6.966429e-02
5.890486e+00 9.622458e-02 1.436068e-02 5.890486e+00 7.786319e-02 2.347575e-02
5.921166e+00 8.767971e-02 -3.666589e-02 5.921166e+00 6.373665e-02 -1.541057e-02
5.951845e+00 7.949054e-02 -6.764014e-02 5.951845e+00 5.068154e-02 -3.643831e-02
5.982525e+00 7.187036e-02 -7.181099e-02 5.982525e+00 3.909138e-02 -3.831834e-02
6.013205e+00 6.505243e-02 -5.200886e-02 6.013205e+00 2.923019e-02 -2.708816e-02
6.043884e+00 5.928697e-02 -1.811897e-02 6.043884e+00 2.121296e-02 -1.167340e-02
6.074564e+00 5.482763e-02 1.714393e-02 6.074564e+00 1.499234e-02 5.717564e-04
6.105244e+00 5.190021e-02 4.242299e-02 6.105244e+00 1.035655e-02 6.399415e-03
6.135923e+00 5.065415e-02 5.063306e-02 6.135923e+00 6.963142e-03 6.647849e-03
6.166603e+00 5.111764e-02 4.017195e-02 6.166603e+00 4.454418e-03 4.364306e-03
6.197282e+00 5.318870e-02 1.466752e-02 6.197282e+00 2.719228e-03 2.473087e-03
6.227962e+00 5.667110e-02 -1.823600e-02 6.227962e+00 2.316690e-03 2.259211e-03
6.258642e+00 6.132696e-02 -4.866108e-02 6.258642e+00 3.296087e-03 3.209222e-03
6.289321e+00 6.691332e-02 -6.669387e-02 6.289321e+00 4.569051e-03 3.916783e-03
6.320001e+00 7.319459e-02 -6.490460e-02 6.320001e+00 5.618867e-03 3.269625e-03
6.350680e+00 7.994064e-02 -4.085947e-02 6.350680e+00 6.254324e-03 1.169167e-03
6.381360e+00 8.692213e-02 1.119232e-03 6.381360e+00 6.401065e-03 -1.533115e-03
6.412040e+00 9.390917e-02 4.992862e-02 6.412040e+00 6.064550e-03 -3.682554e-03
6.442719e+00 1.006742e-01 9.011207e-02 6.442719e+00 5.322348e-03 -4.552240e-03
6.473399e+00 1.069983e-01 1.065871e-01 6.473399e+00 4.325527e-03 -4.202584e-03
6.504079e+00 1.126780e-01 9.035307e-02 6.504079e+00 3.319550e-03 -3.313648e-03
6.534758e+00 1.175329e-01 4.296802e-02 6.534758e+00 2.680870e-03 -2.674196e-03
6.565438e+00 1.214110e-01 -2.242663e-02 6.565438e+00 2.720949e-03 -2.688056e-03
6.596117e+00 1.241932e-01 -8.465000e-02 6.596117e+00 3.206999e-03 -3.194155e-03
6.626797e+00 1.257968e-01 -1.218095e-01 6.626797e+00 3.693121e-03 -3.664907e-03
6.657477e+00 1.261768e-01 -1.197619e-01 6.657477e+00 3.932222e-03 -3.608952e-03
6.688156e+00 1.253282e-01 -7.817658e-02 6.688156e+00 3.839152e-03 -2.901745e-03
6.718836e+00 1.232858e-01 -1.136226e-02 6.718836e+00 3.427537e-03 -1.845077e-03
6.749515e+00 1.201237e-01 5.687310e-02 6.749515e+00 2.792891e-03 -9.462842e-04
6.780195e+00 1.159520e-01 1.024193e-01 6.780195e+00 2.138929e-03 -5.823429e-04
6.810875e+00 1.109110e-01 1.102934e-01 6.810875e+00 1.834450e-03 -7.693917e-04
6.841554e+00 1.051610e-01 8.025278e-02 6.841554e+00 2.133775e-03 -1.173039e-03
6.872234e+00 9.886949e-02 2.620572e-02 6.872234e+00 2.740935e-03 -1.334633e-03
6.902914e+00 9.219563e-02 -3.017536e-02 6.902914e+00 3.308219e-03 -9.579792e-04
6.933593e+00 8.527638e-02 -6.863528e-02 6.933593e+00 3.669047e-03 -7.680377e-05
6.964273e+00 7.821655e-02 -7.816834e-02 6.964273e+00 3.764393e-03 9.891498e-04
6.994952e+00 7.108715e-02 -6.019858e-02 6.994952e+00 3.604359e-03 1.845050e-03
7.025632e+00 6.393391e-02 -2.616309e-02 7.025632e+00 3.258598e-03 2.256862e-03
7.056312e+00 5.679564e-02 8.789853e-03 7.056312e+00 2.856430e-03 2.267427e-03
7.086991e+00 4.972966e-02 3.264631e-02 7.086991e+00 2.575782e-03 2.133976e-03
7.117671e+00 4.284035e-02 4.071334e-02 7.117671e+00 2.562053e-03 2.142720e-03
7.148350e+00 3.630741e-02 3.564863e-02 7.148350e+00 2.793148e-03 2.426167e-03
7.179030e+00 3.041048e-02 2.409901e-02 7.179030e+00 3.109761e-03 2.895046e-03
7.209710e+00 2.553682e-02 1.231127e-02 7.209710e+00 3.362838e-03 3.314947e-03
7.240389e+00 2.212078e-02 3.229071e-03 7.240389e+00 3.471891e-03 3.464815e-03
7.271069e+00 2.042691e-02 -3.642521e-03 7.271069e+00 3.420451e-03 3.269561e-03
7.301749e+00 2.026465e-02 -1.011783e-02 7.301749e+00 3.243022e-03 2.826355e-03
7.332428e+00 2.102635e-02 -1.675368e-02 7.332428e+00 3.011181e-03 2.320177e-03
7.363108e+00 2.206190e-02 -2.168516e-02 7.363108e+00 2.810725e-03 1.896105e-03
7.393787e+00 2.293769e-02 -2.165549e-02 7.393787e+00 2.702201e-03 1.577357e-03
7.424467e+00 2.346469e-02 -1.450184e-02 7.424467e+00 2.682408e-03 1.279175e-03
7.455147e+00 2.363756e-02 -1.361909e-03 7.455147e+00 2.689123e-03 8.992750e-04
7.485826e+00 2.356425e-02 1.300566e-02 7.485826e+00 2.647303e-03 4.140500e-04
7.516506e+00 2.339832e-02 2.223549e-02 7.516506e+00 2.510183e-03 -9.035950e-05
7.547185e+00 2.327457e-02 2.168087e-02 7.547185e+00 2.277665e-03 -4.740124e-04
7.577865e+00 2.325814e-02 1.114292e-02 7.577865e+00 2.003225e-03 -6.454092e-04
7.608545e+00 2.332406e-02 -4.656297e-03 7.608545e+00 1.792642e-03 -6.362492e-04
7.639224e+00 2.337374e-02 -1.826880e-02 7.639224e+00 1.760124e-03 -5.934662e-04
7.669904e+00 2.327457e-02 -2.327177e-02 7.669904e+00 1.920123e-03 -6.900188e-04
7.700584e+00 2.290037e-02 -1.755000e-02 7.700584e+00 2.166157e-03 -1.011905e-03
7.731263e+00 2.215776e-02 -4.315646e-03 7.731263e+00 2.375501e-03 -1.496304e-03
7.761943e+00 2.099672e-02 9.684525e-03 7.761943e+00 2.468533e-03 -1.963112e-03
7.792622e+00 1.940989e-02 1.777402e-02 7.792622e+00 2.412005e-03 -2.221411e-03
7.823302e+00 1.742743e-02 1.678408e-02 7.823302e+00 2.213176e-03 -2.183796e-03
7.853982e+00 1.511384e-02 8.475774e-03 7.853982e+00 1.917541e-03 -1.916807e-03
7.884661e+00 1.257512e-02 -1.751019e-03 7.884661e+00 1.611017e-03 -1.597187e-03
7.915341e+00 9.993058e-03 -8.053270e-03 7.915341e+00 1.414487e-03 -1.403712e-03
7.946020e+00 7.729519e-03 -7.417321e-03 7.946020e+00 1.417623e-03 -1.413685e-03
7.976700e+00 6.515124e-03 -1.199136e-03 7.976700e+00 1.575719e-03 -1.567268e-03
8.007380e+00 7.115931e-03 5.862281e-03 8.007380e+00 1.764917e-03 -1.717193e-03
8.038059e+00 9.197019e-03 8.532064e-03 8.038059e+00 1.893872e-03 -1.726816e-03
8.068739e+00 1.191488e-02 4.207814e-03 8.068739e+00 1.925485e-03 -1.551564e-03
8.099419e+00 1.476407e-02 -5.463492e-03 8.099419e+00 1.865944e-03 -1.254047e-03
8.130098e+00 1.748954e-02 -1.536629e-02 8.130098e+00 1.754816e-03 -9.493582e-04
8.160778e+00 1.994635e-02 -1.965765e-02 8.160778e+00 1.652905e-03 -7.225557e-04
8.191457e+00 2.204596e-02 -1.497866e-02 8.191457e+00 1.616386e-03 -5.753226e-04
8.222137e+00 2.373752e-02 -2.415919e-03 8.222137e+00 1.660063e-03 -4.352545e-04
8.252817e+00 2.499966e-02 1.282433e-02 8.252817e+00 1.747401e-03 -2.168428e-04
8.283496e+00 2.583503e-02 2.386341e-02 8.283496e+00 1.822165e-03 1.111983e-04
8.314176e+00 2.626516e-02 2.547377e-02 8.314176e+00 1.841561e-03 4.995093e-04
8.344855e+00 2.632575e-02 1.662169e-02 8.344855e+00 1.789221e-03 8.494297e-04
8.375535e+00 2.606297e-02 1.000896e-03 8.375535e+00 1.676287e-03 1.078357e-03
8.406215e+00 2.553156e-02 -1.466059e-02 8.406215e+00 1.537938e-03 1.172602e-03
8.436894e+00 2.479511e-02 -2.367107e-02 8.436894e+00 1.423889e-03 1.191259e-03
8.467574e+00 2.392801e-02 -2.236596e-02 8.467574e+00 1.375782e-03 1.219528e-03
8.498254e+00 2.301776e-02 -1.166396e-02 8.498254e+00 1.397573e-03 1.305075e-03
8.528933e+00 2.216504e-02 3.451966e-03 8.528933e+00 1.451935e-03 1.422257e-03
8.559613e+00 2.147818e-02 1.621602e-02 8.559613e+00 1.489203e-03 1.489128e-03
8.590292e+00 2.105915e-02 2.105866e-02 8.590292e+00 1.473183e-03 1.425318e-03
8.620972e+00 2.098199e-02 1.597663e-02 8.620972e+00 1.389496e-03 1.210721e-03
